Name,Description,Founded,Business Model,Employees,Funding Stage,Total Raised,Tags
Novacy,Novacy Behavioral Intelligence Platform,2022,B2B,11-50,Seed,Undisclosed,", , , , behavior-analytics, image-recognition, productivity"
NOVAlert IVS,NOVAlert IVS Biometric Monitoring Systems for Drivers and Pilots,2021,"B2B, B2B2C",1-10,Pre-Funding,$900K,", , , , , , , , alert-system, machine-learning, safety"
Noviopus,Noviopus Job Search and Recruitment Platform,2015,B2B2C,11-50,Seed,$2.5M,", , , , , , , , , , , , cloud, business-management"
NOVOS,NOVOS Training Platform for Gamers,2017,B2C,11-50,Seed,$6.75M,", , , , , , , , personalization, artificial-intelligence"
Novotalk,Novotalk Digital Therapy for People with Speech Disorders,2014,"B2B2C, B2C",1-10,Mature,Undisclosed,", , , , , , , , , , , , , , , digital-healthcare, digital-therapeutics"
NRGene,NRGene PUBLIC Genomics Solutions for Agricultural Breeders,2009,B2B,11-50,Public,$30.6M,", , , , , , , , , , , , , , , artificial-intelligence, academia, cannabis"
nSure.ai,nSure.ai Fraud Protection and Prevention for Digital Goods,2019,B2B,51-200,A,$25.35M,", , , , , , , , fintech, online-shopping"
Nucleai,Nucleai Spatial Biology Software Platform for Precision Medicine,2017,B2B,51-200,B,$60.5M,", , , , , , , , , , , , , , , , , , , , , pharma-companies, immunotherapy"
Nucleon Cyber,Nucleon Cyber Nucleon provides of deception based AGTI platform (Adversary Generated Threat Intelligence),2016,"B2B, B2G",1-10,A,$4.5M,", , , , , cyber-intelligence, cyber-threat-analysis"
Nutrino,Nutrino ACQUIRED Virtual Personal Nutritionist,2011,B2C,11-50,Acquired,$9.9M,", , , , , , , , , , , , , , , , , , digital-therapeutics, recommendations"
NUVIAD,NUVIAD Algorithmic Mobile Marketing Solution,2014,B2B,11-50,Mature,Undisclosed,", , , , , , , , , , , , , , , artificial-intelligence, audience-targeting, anti-fraud"
Nuvo Group,Nuvo Group PUBLIC Remote Prenatal Monitoring Platform,2007,B2B2C,51-200,Public,$48M,", , , , , , , , , , , , , , , , , , , , , , , , decision-support, women-health"
Nym,Nym Natural Language Understanding for Automated Healthcare Coding,2017,B2B,201-500,B,$94.5M,", , , , , , , , , , , , clinical-workflow, software-development"
NYX Technologies,NYX Technologies Neurotechnology for Sleep Management and Stress Reduction,2016,B2B2C,11-50,Seed,$4M,", , , , , , , , , , , , , , , , , , , personalization, machine-learning"
O2R Intelligence,O2R Intelligence Targeted Programmatic Advertising Platform for Businesses,2020,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , web-platform, data-analytics"
Oberon Sciences,Oberon Sciences Personalized Medicine Platform,2017,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , treatments, digital-therapeutics"
Obligo Technologies,Obligo Technologies Rental Billing Authorization Solution,2016,"B2B, B2C",51-200,C,$88.5M,", , , , , , , , artificial-intelligence, financial-services"
Octopai,Octopai ACQUIRED AI-based Data Lineage Platform,2016,B2B,11-50,Acquired,$12.5M,", , , , , , , , , , , big-data-analytics, enterprise-solutions"
Octopus Systems,Octopus Systems Fusion Command and Control Platform,2013,"B2B, B2G",11-50,Mature,$10.5M,", , , , , , , , , , , , , , , , , , , , , , , , , , , safety, orchestration"
Odeeo,Odeeo In-game Audio Advertising Platform,2021,B2B,11-50,Seed,$15M,", , , , , , , , , , games, monetization"
OdysightAI,OdysightAI PUBLIC AI-based Predictive Maintenance and Monitoring for Industry 4.0,2019,"B2B, B2G",11-50,Public,$46M,", , , , , , , , , , , , , , , , , , , , , , , , , , , urology, visual-inspection"
Ola,Ola AI-based Monitoring System for Older Adults,2014,"B2B, B2B2C, B2C",11-50,A,$6.2M,", , , , , , , , , , , , , , optronics, fall-prevention"
Olive Diagnostics,Olive Diagnostics Passive Sensor for Urinalysis,2019,"B2B2C, B2C",11-50,Seed,$11.75M,", , , , , , , , , , , , , , , , , biomarkers, remote-monitoring"
OMB Guitars,OMB Guitars Guitar Add-on for Auto Accompaniment in Real Time,2010,B2C,1-10,Mature,$500K,", , , , , music, consumer-electronics, musicians"
OMEC.AI,OMEC.AI Predicting Drug Success in Clinical Trials,2022,B2C,1-10,Seed,$2M,", , , drug-development, drug-discovery"
Omika Vision,Omika Vision Platform for Machine-vision Applications,2019,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , machine-vision, manufacturing-facilities, defense"
Omnisol,Omnisol Research Management Systems for Academia and Industry,2012,"B2B, B2G",1-10,Mature,Undisclosed,", , , , , , , , , , , , , , , , , , , , , cloud, clinical-trials"
OncoDecipher,OncoDecipher Identifying Silent Mutations for Cancer Classification and Prognosis,2021,B2B,1-10,Seed,Undisclosed,", , , , , , cancer, pharma-companies, oncology"
One AI,One AI AI-based Language Skills Service for Developers,2021,B2B,11-50,Seed,$8M,", , , , , , enterprises, software-applications"
Onebeat,Onebeat AI-driven Adaptive Inventory Management,2017,B2B,51-200,B,$15M,", , , , , online-retailers, artificial-intelligence"
OnePep,OnePep AI-powered People Management Platform,2015,B2B,1-10,Pre-Seed,$600K,", , , , , , enterprise-solutions, machine-learning, community"
OneStep,OneStep Remote Physical Therapy,2019,"B2B, B2C",51-200,B,$45M,", , , , , , , , , , , , , , , real-time, patients, telehealth"
OneView,OneView Platform for Creating Virtual Synthetic Datasets,2019,"B2B, B2G",1-10,A,$3.5M,", , , , , , , , , , , , , location-based, infrastructure"
Ontime,Ontime Community-Driven Logistic Platform,2022,B2C,11-50,Pre-Funding,Undisclosed,", ecommerce, artificial-intelligence"
Onvego,Onvego Conversational App Platform,2015,"B2B, B2B2C",11-50,Pre-Funding,$0,", , , , , , , , , , , , , , enterprise-solutions, mobile-applications"
oolo AI,oolo AI ACQUIRED Growth Insights and Precise Decision Alerts,2020,B2B,11-50,Acquired,$6M,", , software-applications, artificial-intelligence"
Oorym,Oorym Near-to-eye Displays,2018,B2C,1-10,Pre-Funding,Undisclosed,", virtual-reality, augmented-reality"
Oosto,Oosto Visual Intelligence Solutions,2015,"B2B, B2G",51-200,C,$352M,", , , , , , , , , , , , , , , , , , , , , , hospitals, smart-mobility, optronics"
OpenDNA,OpenDNA Using Precision Genomic AI to Predict and Prevent Heart Disease,2018,B2B,1-10,Seed,$1.75M,", , , , , , , , , , , genetics, heart-failure"
Openmind 360,Openmind 360 Virtual-reality Platform for Mental Distress Problems,2016,"B2B, B2G",1-10,Seed,Undisclosed,", , , , ar/vr, digital-healthcare"
Ophthalmic Sciences,Ophthalmic Sciences Intraocular Pressure Measurement Device,2019,B2B,1-10,Seed,$2.32M,", , , , , , , , , , , , , , , , non-invasive, remote-monitoring"
OptimalQ,OptimalQ Real-time Sales Lead Generator and Intelligence System,2015,"B2B, B2B2C",1-10,Seed,Undisclosed,", , , , , , , , , , sales-prediction, artificial-intelligence"
Optimove,Optimove Personalized Customer Marketing,2009,B2B,500+,B,$95M,", , , , , , , , , , , , , , , , retailers, online-retailers"
OptiWays,OptiWays Cost-driven Route Optimization,2017,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , airlines, smart-mobility, last-mile"
Orbograph,Orbograph ACQUIRED AI-powered Check Processing,1995,B2B,51-200,Acquired,Undisclosed,", , , , , , , , , , , , , healthcare-providers, clinical-workflow"
Orca AI,Orca AI AI-based Maritime Safety Solutions,2018,"B2B, B2G",51-200,A,$38.6M,", , , , , , , , , , , big-data, smart-mobility, navigation"
Orca Dental AI,Orca Dental AI Automated Dental Imaging Solutions,2017,B2B,11-50,Seed,$675K,", , , , , , , , , , 3d-imaging, deep-learning"
OrCam Technologies,OrCam Technologies Assistive Technology for People with Vision Impairment or Reading Disabilities,2010,B2C,201-500,E,$131M,", , , , , , , , , , , , , , face-recognition, natural-language-processing, adhd"
Osirix,Osirix Crop Monitoring and Precision Agriculture Solutions,2022,B2B,1-10,Pre-Funding,Undisclosed,", , , , agriculture, climate-tech, agtech"
OSR Enterprises,OSR Enterprises Scalable AI Brain for Connected Vehicles,2011,B2B,51-200,Mature,Undisclosed,", , , automotive, smart-mobility"
OSTI,OSTI Embedded Software Products,2022,B2B,1-10,Pre-Funding,Undisclosed,", artificial-intelligence, sensors, drones"
OurCart,OurCart AI-powered Invoice Collection,2011,"B2B, B2C",11-50,Mature,$2.85M,", , , , , , , , , , , , , predictive-marketing, food-and-beverage"
OutOfScreens,OutOfScreens 3D Printing Technology,2018,B2B,1-10,Pre-Funding,Undisclosed,", , industry-4.0, artificial-intelligence, machinery"
OutSense Diagnostics,OutSense Diagnostics ACQUIRED Toilet-based IoT Sensor for Detecting GI Conditions,2016,"B2B, B2B2C, B2C",11-50,Acquired,$2.75M,", , , , , , , , , , , , , , , , , , , , doctors, hospitals, seniors"
Owlytics Healthcare,Owlytics Healthcare Personalized Health Detection App,2016,"B2B, B2B2C",1-10,A,$8.7M,", , , , , , , , patients, emergency-response"
Ownera,Ownera Open-source Routing and Settlement Protocol,2019,"B2B, B2G",11-50,A,$20M,", , , , , , , , , api, artificial-intelligence"
Package.ai,Package.ai Unified Platform for Last-Mile & Customer Engagement,2016,B2B,11-50,Seed,$570K,", , , , , , , , , , , , , logistics, natural-language-processing"
PAI-TECH,PAI-TECH ACQUIRED AI-driven Autonomous Bots,2018,B2B,1-10,Acquired,$1.5M,", , , , , , , web-development, machine-learning, automation"
Pairzon AI,Pairzon AI AI-based Customer Loyalty Solution for Retailers,2020,B2B,11-50,Seed,$2.2M,", , , , , , , , , , , , , campaign-optimization, ecommerce"
Pangea Biomed,Pangea Biomed Pan-cancer Therapy Response Predictor,2018,B2B,11-50,Seed,$12M,", , , , , , , , , , , , , , laboratories, personalization"
Panjaya Technologies,Panjaya Technologies Video Translation Technology,2021,"B2B, B2C",11-50,Seed,$9.5M,"video-content, artificial-intelligence"
Panorama Software,Panorama Software Data Analytics for Communications and Media Service Providers,1993,"B2B, B2G",51-200,B,$4.01M,", , , , , , , , , , , , , , , predictive-analytics, financial-institutions, cloud"
Parametrix Insurance,Parametrix Insurance Parametric Insurance for IT Downtime,2019,B2B,11-50,Seed,$17.5M,", , , , , , , , , ecommerce, risk-assesments"
Paretix,Paretix Analytics-based Digital Lending,2006,"B2B, B2B2C",11-50,Mature,Undisclosed,", , , , , , , mobile-applications, artificial-intelligence"
ParKam,ParKam Camera Based Parking Ecosystem,2014,"B2B, B2C",1-10,Mature,$2.95M,", , , , , , , , , , , , smart-mobility, web-platform, real-time"
Parknav,Parknav On-Street Parking Solution,2021,"B2B, B2B2C",11-50,Seed,Undisclosed,", , , , , , , , navigation, smart-mobility"
Parsempo,Parsempo AI-powered DOOH and Retail Media platform,2019,"B2B, B2G",1-10,Pre-Seed,$1M,", , , , , , , , , , , , , , , , , , , , , , , , smart-city, location-based, marketing"
Passparto,Passparto AI-driven Content Creation Platform,2020,B2B,1-10,Pre-Funding,$0,", , , , , , , , , , , , , , , , , , , , , , , , , , , , machine-learning, management-solutions"
PatenSee,PatenSee Stenosis Detection System for Patients Undergoing Dialysis,2019,B2B,11-50,Seed,$750K,", , , , , , , , , , hospitals, non-invasive"
PathKeeper Surgical,PathKeeper Surgical Real-time Surgical Accuracy with 3D Optical Navigation,2018,B2B,11-50,Seed,$5.9M,", , , , , , , , , , , , , , , , digital-healthcare, sensors, surgeons"
Pattern Insurance,Pattern Insurance Automated SaaS Insurance Platform,2017,B2B,1-10,A,$12M,", , , , , , , , , , , sales-automation, risk-assesments"
PATTERNOX,PATTERNOX Skin Scanner for Detecting Precancerous Skin Abnormalities,2019,"B2B, B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , medical-devices, diagnostics, skin-care"
PayZen,PayZen Zero-interest Payment Plan for Patient Medical Expenses,2019,B2B,51-200,B,$72M,", , , , , , enterprise-solutions, healthcare-providers, hospitals"
Pecan AI,Pecan AI Deep-learning Predictive Analytics Platform,2016,B2B,51-200,C,$116M,", , , , , , , , , , , , , , , , , , , , , , , consumer-packaged-goods, manufacturers"
Peech,Peech Video Editing Platform for Content Marketing Teams,2020,B2B,11-50,Seed,$8.3M,", , , , , automation, web-platform, smb"
PeersMD,PeersMD Ai-based Cross-institutional Consultations Platform,2022,,1-10,Pre-Funding,Undisclosed,", , , doctors, digital-healthcare"
PentaOmix,PentaOmix Shedding Light on Cancer - Diagnosing cancer better and faster using hyperspectral data & AI,2020,B2B,1-10,Pre-Funding,$2.27M,", , , , , , , , , , , , , precision-medicine, artificial-intelligence"
Pepticom,Pepticom Novel Peptide Drug Candidates,2011,B2B,11-50,A,$7.6M,", , , , , , , , , , , biopharmaceutical, cancer, peptides"
PeptiCov,PeptiCov Treatment for SARS-CoV-2,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , pharma-companies, digital-healthcare"
Perfect,Perfect AI-powered Recruitment Platform,2020,"B2B, B2C",11-50,Seed,$13M,", , recruitment, artificial-intelligence, hr-tech"
PerSimiO,PerSimiO Predicting Fracture Risk for Patients with Cancer and Osteoporosis,2015,B2B,1-10,Pre-Funding,$955K,", , , , , , , , , , , , , , , , treatments, risk-assesments, ct-scan"
Pery,Pery Seamlessly integrating AI-driven behavioral health services into primary care clinics.,2021,"B2B, B2C",11-50,Seed,$5.7M,", , , , , , , , patient-engagement, healthcare-providers, pediatrics"
PetNovations,PetNovations Technological Innovations for Pets and Their Owners,2005,B2B2C,11-50,Mature,$2M,", , , , , , , , , mobile-applications, automation, home-iot"
PG Medical Systems,PG Medical Systems Virtual Pain Expert,2018,B2B,1-10,Seed,Undisclosed,", , , , , , personalization, pain-relief, telehealth"
phenofAST,phenofAST Antimicrobial Susceptibility Testing Solution,2018,B2B,1-10,Seed,Undisclosed,", , , , , , laboratories, pharmaceuticals"
Phoenix Native,Phoenix Native Programmatic Platform for Native Advertising,2015,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , artificial-intelligence, monetization"
PhoneDue Technology in Motion,PhoneDue Technology in Motion Customer Engagement Solution,2020,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , software-applications, customer-engagement"
Photomyne,Photomyne PUBLIC Photo Scanning Application,2014,B2C,11-50,Public,$22.6M,", , , , , , , artificial-intelligence, machine-learning, scanning"
Phraseup,Phraseup Online Phrase Finder,2011,"B2B, B2C",1-10,Mature,Undisclosed,", , , , , artificial-intelligence, web-platform, teachers"
Phytech,Phytech ACQUIRED Phytomonitoring Technology for Crop Management,2011,B2B,51-200,Acquired,$43.5M,", , , , , , , , , , , , , , , , , , , optronics, artificial-intelligence"
Pick a Pier,Pick a Pier Sustainability Platform for Boaters and Marinas,2017,"B2B, B2C",11-50,Pre-Seed,Undisclosed,", , , , , , , , , , , artificial-intelligence, smart-mobility"
PickPack,PickPack End-to-end Delivery Management Solution,2016,"B2B, B2B2C, B2C",11-50,Seed,$750K,", , , , , , , , , , , , , , , , , food-and-beverage, big-data-analytics"
Picodya Technologies,Picodya Technologies In Vitro Diagnostics (IVD) Platform,2018,B2B,11-50,A,$51.4M,", , , , , , , , clinics, medical-devices"
Picpal,Picpal AI Powered Event Photo Management,2021,"B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , photo-sharing, content-sharing, events"
PicUP Mobile,PicUP Mobile B2C Phone Call Optimization Platform,2017,B2B2C,11-50,Seed,Undisclosed,", , , , , , , call-centers, patent-pending"
PigO FoodTech,PigO FoodTech Sustainable Pig Production,2022,B2B,1-10,Pre-Funding,Undisclosed,", , optical-sensor, artificial-intelligence, agtech"
Pillar Security,Pillar Security Unified AI Security Platform,2023,B2B,11-50,Pre-Funding,Undisclosed,", , , , threat-intelligence, cyber-security"
Pilogics,Pilogics Aesthetic Hair Technologies,2007,"B2B2C, B2C",1-10,Mature,Undisclosed,", , , , , , , , , digital-therapeutics, treatments, home-care"
Pimea AI,"Pimea AI A personalized healthcare app (mHealth) for allergies that accesses the subconscious mind to retrain the immune system to avoid, or reduce, allergy inflammation for a long period",2022,"B2B, B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , pharma-companies, machine-learning"
Pipl,Pipl Online Identity and Trust Platform,2004,"B2B, B2C, B2G",51-200,Mature,$19M,", , , , , , , , , , , , saas, cyber-security"
PitchBob.io,PitchBob.io AI Pitch Deck Generator,2020,B2B,1-10,Pre-Funding,Undisclosed,", enterprises, business-intelligence, chatbot"
PixCell Medical,PixCell Medical ACQUIRED Portable Medical Diagnostic Products for Point-of-care Testing,2008,B2B,51-200,Acquired,$7.5M,", , , , , , , , , , oncology, digital-healthcare, patients"
Pixellot,Pixellot AI-automated Sports Production,2013,"B2B, B2C",51-200,D,$219M,", , , , , , , , , , , , , optronics, entertainment"
Planck,Planck ACQUIRED AI-based Data Platform for Commercial Insurance,2015,B2B,51-200,Acquired,$71M,", , , , , , , , , , , fintech, deep-learning"
Planet Nine,"Planet Nine Advancing Global Innovation in Cybersecurity, AI, and Digital Engineering",2021,"B2B, B2G",11-50,Pre-Funding,Undisclosed,", artificial-intelligence, security, osint"
Plant-Ditech,Plant-Ditech Plant Environment Diagnostics and Generative AI Platform,2016,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , cannabis, artificial-intelligence"
Plantt,Plantt Conversational AI Customer Service Platform,2019,B2B,1-10,Seed,$1M,", , , , , smb, artificial-intelligence"
Platforma365,Platforma365 Cloud-based AML Compliance (KYC/KYB) Risk Management Platform,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , saas, ecommerce"
PlayBatch,PlayBatch Hybrid-casual Gaming Platform,2020,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , artificial-intelligence, mobile-games, edtech"
PlaySight Interactive,PlaySight Interactive ACQUIRED Sports AI and Automated Production for Streaming and Performance Video Analysis,2009,B2B,11-50,Acquired,$28M,", , , , , , , , , , , , , , , , , gym, machine-learning, sports-tech"
